# drug: Talazoparib (BMN-673)
# concentration unit: uM
cell	concentration	rel_viability
Parental	49.9999995	30.16192
Parental	16.66671465	36.69725
Parental	5.555587601	33.02752
Parental	1.851867884	29.81103
Parental	0.6172768646	49.14653
Parental	0.2057595493	75.22936
Parental	0.06858671459	92.82503
Parental	49.9999995	27.73517
Parental	16.66671465	35.11541
Parental	5.555587601	35.19692
Parental	1.851867884	38.11641
Parental	0.6172768646	45.77081
Parental	0.2057595493	79.48575
Parental	0.06858671459	95.12801
C2	49.9999995	50.3953
C2	16.66671465	62.63937
C2	5.555587601	91.1565
C2	1.851867884	97.24306
C2	0.6172768646	90.95378
C2	0.2057595493	99.06244
C2	0.06858671459	107.2623
C2	49.9999995	49.74878
C2	16.66671465	51.42993
C2	5.555587601	70.61317
C2	1.851867884	82.54316
C2	0.6172768646	84.29575
C2	0.2057595493	86.37695
C2	0.06858671459	100.6453
C17	49.9999995	42.79713
C17	16.66671465	61.32826
C17	5.555587601	79.10771
C17	1.851867884	88.26495
C17	0.6172768646	90.66148
C17	0.2057595493	96.29024
C17	0.06858671459	95.04333
C17	49.9999995	45.36836
C17	16.66671465	46.75332
C17	5.555587601	73.93586
C17	1.851867884	99.51362
C17	0.6172768646	93.62755
C17	0.2057595493	97.32077
C17	0.06858671459	103.4981
