# MCF10A 24 h talazoparib treatment
filename,cell,n_nuclear_blobs
C3-Image63,1,4
C3-Image63,2,6
C3-Image63,3,13
C3-Image63,4,12
C3-Image63,5,11
C3-Image63,6,14
C3-Image63,7,4
C3-Image63,8,1
C3-Image64,0,0
C3-Image64,1,11
C3-Image64,2,29
C3-Image64,3,0
C3-Image64,4,0
C3-Image64,5,12
C3-Image64,6,0
C3-Image64,7,3
C3-Image64,8,23
C3-Image64,9,1
C3-Image64,10,3
C3-Image64,11,2
C3-Image65,1,0
C3-Image65,2,3
C3-Image65,3,23
C3-Image65,4,1
C3-Image65,5,0
C3-Image65,6,8
C3-Image65,7,26
C3-Image65,8,1
C3-Image65,9,0
C3-Image65,10,1
C3-Image66,1,6
C3-Image66,2,0
C3-Image66,3,18
C3-Image66,4,2
C3-Image67,0,0
C3-Image67,1,0
C3-Image67,2,0
C3-Image67,3,12
C3-Image67,4,6
C3-Image67,5,10
C3-Image67,6,4
C3-Image67,7,0
C3-Image67,8,0
C3-Image67,9,0
C3-Image67,10,0
C3-Image67,11,1
C3-Image67,12,0
C3-Image67,13,4
C3-Image68,1,10
C3-Image68,2,1
C3-Image68,3,1
C3-Image68,4,1
C3-Image68,5,11
C3-Image68,6,1
C3-Image68,7,0
C3-Image68,8,0
C3-Image68,9,0
C3-Image69,1,1
C3-Image69,2,0
C3-Image69,3,4
C3-Image69,4,14
C3-Image69,5,4
C3-Image69,6,0
C3-Image69,7,0
C3-Image69,8,19
C3-Image70,1,5
C3-Image70,2,4
C3-Image70,3,0
C3-Image70,4,3
C3-Image70,5,5
C3-Image70,6,1
C3-Image70,7,0
C3-Image70,8,0
C3-Image70,9,1
C3-Image25,1,4
C3-Image25,2,0
C3-Image25,3,53
C3-Image25,4,3
C3-Image25,5,5
C3-Image25,6,2
C3-Image25,7,40
C3-Image25,8,12
C3-Image25,9,2
C3-Image25,10,22
C3-Image25,11,3
C3-Image25,12,0
C3-Image25,13,6
C3-Image25,14,1
C3-Image25,15,7
C3-Image25,16,14
C3-Image25,17,0
C3-Image25,18,0
C3-Image25,19,0
C3-Image25,20,10
C3-Image25,21,0
C3-Image25,22,11
C3-Image25,23,0
C3-Image25,24,1
C3-Image25,25,5
C3-Image25,26,1
C3-Image26,1,0
C3-Image26,2,1
C3-Image26,3,4
C3-Image26,4,0
C3-Image26,5,60
C3-Image26,6,2
C3-Image26,7,0
C3-Image26,8,9
C3-Image26,9,0
C3-Image26,10,3
C3-Image26,11,13
C3-Image26,12,1
C3-Image26,13,5
C3-Image26,14,0
C3-Image26,15,1
C3-Image26,16,4
C3-Image26,17,8
C3-Image26,18,6
C3-Image26,19,5
C3-Image26,20,3
C3-Image26,21,5
C3-Image26,22,1
C3-Image26,23,1
C3-Image26,24,0
C3-Image26,25,1
C3-Image26,26,0
C3-Image27,1,0
C3-Image27,2,0
C3-Image27,3,36
C3-Image27,4,44
C3-Image27,5,1
C3-Image27,6,18
C3-Image27,7,29
C3-Image27,8,1
C3-Image27,9,0
C3-Image27,10,2
C3-Image27,11,2
C3-Image27,12,0
C3-Image27,13,0
C3-Image27,14,5
C3-Image27,15,0
C3-Image27,16,23
C3-Image27,17,0
C3-Image27,18,0
C3-Image27,19,0
C3-Image27,20,0
C3-Image27,21,13
C3-Image27,22,3
C3-Image27,23,12
C3-Image27,24,26
C3-Image27,25,0
C3-Image27,26,0
C3-Image27,27,1
C3-Image27,28,0
C3-Image27,29,0
C3-Image28,1,2
C3-Image28,2,0
C3-Image28,3,24
C3-Image28,4,4
C3-Image28,5,34
C3-Image28,6,0
C3-Image28,7,17
C3-Image28,8,37
C3-Image28,9,5
C3-Image28,10,34
C3-Image28,11,4
C3-Image28,12,7
C3-Image28,13,5
C3-Image28,14,2
C3-Image28,15,36
C3-Image28,16,5
C3-Image28,17,20
C3-Image28,18,27
C3-Image28,19,18
C3-Image28,20,11
C3-Image28,21,2
