# MCF10A 24h talazoparib treatment
filename,cell,n_nuclear_blobs
C2-Image63,1,5
C2-Image63,2,3
C2-Image63,3,8
C2-Image63,4,4
C2-Image63,5,5
C2-Image63,6,0
C2-Image63,7,1
C2-Image63,8,3
C2-Image64,1,8
C2-Image64,2,12
C2-Image64,3,0
C2-Image64,4,0
C2-Image64,5,5
C2-Image64,6,1
C2-Image64,7,2
C2-Image64,8,10
C2-Image64,9,0
C2-Image64,10,1
C2-Image64,11,0
C2-Image65,1,2
C2-Image65,2,1
C2-Image65,3,11
C2-Image65,4,3
C2-Image65,5,1
C2-Image65,6,3
C2-Image65,7,8
C2-Image65,8,0
C2-Image65,9,1
C2-Image65,10,4
C2-Image66,1,4
C2-Image66,2,2
C2-Image66,3,11
C2-Image66,4,10
C2-Image67,0,0
C2-Image67,1,3
C2-Image67,2,4
C2-Image67,3,9
C2-Image67,4,4
C2-Image67,5,7
C2-Image67,6,1
C2-Image67,7,1
C2-Image67,8,2
C2-Image67,9,1
C2-Image67,10,2
C2-Image67,11,1
C2-Image67,12,5
C2-Image67,13,6
C2-Image68,1,9
C2-Image68,2,1
C2-Image68,3,1
C2-Image68,4,1
C2-Image68,5,6
C2-Image68,6,4
C2-Image68,7,4
C2-Image68,8,3
C2-Image68,9,3
C2-Image69,1,6
C2-Image69,2,2
C2-Image69,3,4
C2-Image69,4,8
C2-Image69,5,1
C2-Image69,6,1
C2-Image69,7,1
C2-Image69,8,17
C2-Image70,1,9
C2-Image70,2,7
C2-Image70,3,4
C2-Image70,4,5
C2-Image70,5,13
C2-Image70,6,4
C2-Image70,7,1
C2-Image70,8,4
C2-Image70,9,7
C2-Image25,1,0
C2-Image25,2,2
C2-Image25,3,9
C2-Image25,4,1
C2-Image25,5,2
C2-Image25,6,1
C2-Image25,7,11
C2-Image25,8,5
C2-Image25,9,2
C2-Image25,10,10
C2-Image25,11,4
C2-Image25,12,3
C2-Image25,13,3
C2-Image25,14,1
C2-Image25,15,2
C2-Image25,16,3
C2-Image25,17,1
C2-Image25,18,1
C2-Image25,19,1
C2-Image25,20,1
C2-Image25,21,1
C2-Image25,22,0
C2-Image25,23,1
C2-Image25,24,1
C2-Image25,25,4
C2-Image25,26,0
C2-Image26,1,0
C2-Image26,2,0
C2-Image26,3,1
C2-Image26,4,1
C2-Image26,5,13
C2-Image26,6,2
C2-Image26,7,0
C2-Image26,8,1
C2-Image26,9,2
C2-Image26,10,0
C2-Image26,11,4
C2-Image26,12,4
C2-Image26,13,5
C2-Image26,14,1
C2-Image26,15,0
C2-Image26,16,1
C2-Image26,17,5
C2-Image26,18,0
C2-Image26,19,2
C2-Image26,20,1
C2-Image26,21,1
C2-Image26,22,2
C2-Image26,23,1
C2-Image26,24,1
C2-Image26,25,0
C2-Image26,26,0
C2-Image27,1,0
C2-Image27,2,1
C2-Image27,3,11
C2-Image27,4,26
C2-Image27,5,0
C2-Image27,6,7
C2-Image27,7,12
C2-Image27,8,2
C2-Image27,9,0
C2-Image27,10,0
C2-Image27,11,0
C2-Image27,12,2
C2-Image27,13,2
C2-Image27,14,6
C2-Image27,15,1
C2-Image27,16,20
C2-Image27,17,2
C2-Image27,18,0
C2-Image27,19,4
C2-Image27,20,3
C2-Image27,21,9
C2-Image27,22,4
C2-Image27,23,7
C2-Image27,24,13
C2-Image27,25,4
C2-Image27,26,0
C2-Image27,27,4
C2-Image27,28,1
C2-Image27,29,1
C2-Image28,1,1
C2-Image28,2,3
C2-Image28,3,12
C2-Image28,4,5
C2-Image28,5,24
C2-Image28,6,0
C2-Image28,7,9
C2-Image28,8,16
C2-Image28,9,3
C2-Image28,10,13
C2-Image28,11,2
C2-Image28,12,10
C2-Image28,13,7
C2-Image28,14,5
C2-Image28,15,24
C2-Image28,16,4
C2-Image28,17,11
C2-Image28,18,14
C2-Image28,19,10
C2-Image28,20,17
C2-Image28,21,5
