#SUM149-P 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C3-Image16,1,43
C3-Image16,2,4
C3-Image16,3,1
C3-Image16,4,2
C3-Image16,5,8
C3-Image16,6,46
C3-Image16,7,21
C3-Image16,8,43
C3-Image16,9,11
C3-Image16,10,2
C3-Image16,11,9
C3-Image16,12,38
C3-Image16,13,37
C3-Image16,14,45
C3-Image16,15,49
C3-Image16,16,34
C3-Image16,17,37
C3-Image16,18,15
C3-Image16,19,5
C3-Image16,20,22
C3-Image16,21,17
C3-Image16,22,16
C3-Image16,23,10
C3-Image16,24,21
C3-Image16,25,27
C3-Image16,26,10
C3-Image16,27,8
C3-Image17,1,60
C3-Image17,2,51
C3-Image17,3,62
C3-Image17,4,51
C3-Image17,5,8
C3-Image17,6,68
C3-Image17,7,46
C3-Image17,8,40
C3-Image17,9,34
C3-Image17,10,21
C3-Image17,11,45
C3-Image17,12,45
C3-Image17,13,78
C3-Image17,14,26
C3-Image17,15,44
C3-Image17,16,78
C3-Image17,17,37
C3-Image17,18,0
C3-Image17,19,43
C3-Image17,20,30
C3-Image17,21,5
C3-Image17,22,0
C3-Image18,1,4
C3-Image18,2,3
C3-Image18,3,49
C3-Image18,4,50
C3-Image18,5,64
C3-Image18,6,25
C3-Image18,7,25
C3-Image18,8,48
C3-Image18,9,49
C3-Image18,10,62
C3-Image18,11,36
C3-Image18,12,43
C3-Image18,13,0
C3-Image18,14,39
C3-Image18,15,62
C3-Image18,16,71
C3-Image18,17,69
C3-Image18,18,69
C3-Image18,19,52
C3-Image18,20,65
C3-Image18,21,49
C3-Image18,22,8
C3-Image18,23,44
C3-Image18,24,39
C3-Image18,25,48
C3-Image18,26,29
C3-Image18,27,52
C3-Image18,28,11
C3-Image18,29,9
C3-Image19,1,2
C3-Image19,2,41
C3-Image19,3,34
C3-Image19,4,24
C3-Image19,5,54
C3-Image19,6,1
C3-Image19,7,5
C3-Image19,8,4
C3-Image19,9,2
C3-Image19,10,41
C3-Image19,11,9
C3-Image19,12,3
C3-Image19,13,1
C3-Image19,14,4
C3-Image19,15,2
C3-Image19,16,6
C3-Image19,17,1
C3-Image19,18,45
C3-Image19,19,4
C3-Image19,20,57
C3-Image19,21,17
C3-Image19,22,5
C3-Image19,23,43
C3-Image19,24,66
C3-Image19,25,3
C3-Image19,26,61
C3-Image20,1,3
C3-Image20,2,41
C3-Image20,3,62
C3-Image20,4,28
C3-Image20,5,64
C3-Image20,6,71
C3-Image20,7,36
C3-Image20,8,58
C3-Image20,9,16
C3-Image20,10,29
C3-Image20,11,59
C3-Image20,12,45
C3-Image20,13,44
C3-Image20,14,61
C3-Image20,15,30
C3-Image20,16,71
C3-Image20,17,10
C3-Image20,18,29
C3-Image20,19,47
C3-Image20,20,6
C3-Image20,21,13
C3-Image20,22,76
C3-Image20,23,36
C3-Image20,24,3
C3-Image20,25,69
C3-Image20,26,1
C3-Image20,27,2
C3-Image5,1,39
C3-Image5,2,22
C3-Image5,3,42
C3-Image5,4,15
C3-Image5,5,41
C3-Image5,6,22
C3-Image5,7,35
C3-Image5,8,28
C3-Image5,9,1
C3-Image5,10,25
C3-Image5,11,5
C3-Image5,12,22
C3-Image5,13,6
C3-Image5,14,2
C3-Image5,15,4
C3-Image5,16,0
C3-Image5,17,29
C3-Image5,18,53
C3-Image5,19,38
C3-Image5,20,7
C3-Image5,21,37
C3-Image5,22,26
C3-Image5,23,53
C3-Image5,24,20
C3-Image5,25,19
C3-Image5,26,24
C3-Image5,27,1
C3-Image5,28,19
C3-Image5,29,14
C3-Image5,30,73
C3-Image5,31,11
C3-Image5,32,2
C3-Image5,33,5
C3-Image5,34,13
C3-Image6,1,34
C3-Image6,2,21
C3-Image6,3,2
C3-Image6,4,8
C3-Image6,5,4
C3-Image6,6,1
C3-Image6,7,25
C3-Image6,8,7
C3-Image6,9,0
C3-Image6,10,30
C3-Image6,11,37
C3-Image6,12,21
C3-Image6,13,29
C3-Image6,14,15
