#SUM149-C2 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C2-Image1,1,32
C2-Image1,2,0
C2-Image1,3,3
C2-Image1,4,2
C2-Image1,5,26
C2-Image1,6,4
C2-Image1,7,17
C2-Image1,8,6
C2-Image1,9,4
C2-Image1,10,9
C2-Image2,1,1
C2-Image2,2,0
C2-Image2,3,0
C2-Image2,4,16
C2-Image2,5,0
C2-Image2,6,1
C2-Image2,7,10
C2-Image2,8,0
C2-Image2,9,2
C2-Image2,10,23
C2-Image2,11,15
C2-Image2,12,0
C2-Image2,13,6
C2-Image2,14,20
C2-Image2,15,1
C2-Image2,16,30
C2-Image2,17,0
C2-Image2,18,23
C2-Image2,19,0
C2-Image2,20,4
C2-Image2,21,5
C2-Image2,22,13
C2-Image3,1,16
C2-Image3,2,13
C2-Image3,3,23
C2-Image3,4,3
C2-Image3,5,3
C2-Image3,6,15
C2-Image3,7,7
C2-Image3,8,4
C2-Image3,9,2
C2-Image3,10,0
C2-Image3,11,2
C2-Image3,12,4
C2-Image3,13,52
C2-Image3,14,0
C2-Image3,15,2
C2-Image3,16,1
C2-Image3,17,0
C2-Image3,18,13
C2-Image3,19,13
C2-Image3,20,3
C2-Image3,21,10
C2-Image3,22,12
C2-Image3,23,13
C2-Image3,24,23
C2-Image3,25,3
C2-Image3,26,6
C2-Image3,27,19
C2-Image3,28,3
C2-Image3,29,5
C2-Image3,30,3
C2-Image3,31,2
C2-Image3,32,3
C2-Image3,33,17
C2-Image3,34,21
C2-Image3,35,1
C2-Image4,1,6
C2-Image4,2,5
C2-Image4,3,24
C2-Image4,4,3
C2-Image4,5,14
C2-Image4,6,1
C2-Image4,7,12
C2-Image4,8,26
C2-Image4,9,3
C2-Image4,10,0
C2-Image4,11,11
C2-Image4,12,19
C2-Image4,13,10
C2-Image4,14,2
C2-Image4,15,20
C2-Image4,16,15
C2-Image4,17,10
C2-Image4,18,3
C2-Image4,19,6
C2-Image4,20,7
C2-Image4,21,2
C2-Image4,22,31
C2-Image4,23,32
C2-Image4,24,2
C2-Image4,25,0
C2-Image4,26,0
C2-Image4,27,0
C2-Image4,28,1
C2-Image11,1,1
C2-Image11,2,19
C2-Image11,3,2
C2-Image11,4,14
C2-Image11,5,8
C2-Image11,6,0
C2-Image11,7,1
C2-Image11,8,27
C2-Image11,9,11
C2-Image11,10,33
C2-Image11,11,0
C2-Image11,12,0
C2-Image11,13,12
C2-Image11,14,2
C2-Image11,15,1
C2-Image11,16,10
C2-Image11,17,4
C2-Image11,18,5
C2-Image11,19,1
C2-Image11,20,1
C2-Image11,21,0
C2-Image12,1,8
C2-Image12,2,1
C2-Image12,3,26
C2-Image12,4,10
C2-Image12,5,3
C2-Image12,6,15
C2-Image13,1,0
C2-Image13,2,20
C2-Image13,3,2
C2-Image13,4,1
C2-Image13,5,35
C2-Image13,6,2
C2-Image13,7,2
C2-Image13,8,9
C2-Image13,9,11
C2-Image13,10,12
C2-Image13,11,27
C2-Image13,12,2
C2-Image13,13,1
C2-Image13,14,0
C2-Image13,15,0
C2-Image13,16,0
C2-Image13,17,0
C2-Image13,18,5
C2-Image13,19,0
C2-Image13,20,1
C2-Image13,21,3
C2-Image13,22,1
C2-Image13,23,1
C2-Image13,24,1
C2-Image13,25,2
C2-Image14,1,3
C2-Image14,2,1
C2-Image14,3,1
C2-Image14,4,0
C2-Image14,5,0
C2-Image14,6,0
C2-Image14,7,17
C2-Image14,8,1
C2-Image14,9,0
C2-Image14,10,3
C2-Image14,11,0
C2-Image14,12,11
C2-Image14,13,3
C2-Image14,14,1
C2-Image14,15,1
C2-Image14,16,1
C2-Image14,17,8
C2-Image14,18,0
C2-Image14,19,11
C2-Image14,20,14
C2-Image14,21,19
C2-Image14,22,31
C2-Image14,23,24
C2-Image14,24,4
C2-Image14,25,3
C2-Image14,26,0
C2-Image14,27,17
C2-Image14,28,3
C2-Image14,29,0
C2-Image14,30,24
C2-Image14,31,0
C2-Image14,32,43
C2-Image14,33,1
C2-Image14,34,14
C2-Image14,35,11
C2-Image14,36,1
C2-Image14,37,0
C2-Image14,38,2
C2-Image14,39,0
C2-Image14,40,1
C2-Image14,41,0
C2-Image14,42,15
C2-Image14,43,0
C2-Image14,44,7
C2-Image14,45,10
C2-Image14,46,0
C2-Image14,47,0
C2-Image15,1,3
C2-Image15,2,3
C2-Image15,3,0
C2-Image15,4,13
C2-Image15,5,43
C2-Image15,6,5
C2-Image15,7,1
C2-Image15,8,3
C2-Image15,9,6
C2-Image15,10,34
C2-Image15,11,34
C2-Image15,12,4
C2-Image15,13,11
C2-Image15,14,0
C2-Image15,15,22
C2-Image15,16,5
C2-Image15,17,25
C2-Image15,18,1
C2-Image15,19,28
C2-Image15,20,1
C2-Image15,21,4
C2-Image15,22,9
C2-Image15,23,1
C2-Image15,24,4
C2-Image15,25,0
