#SUM149-C17 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C3-Image1,1,14
C3-Image1,2,2
C3-Image1,3,3
C3-Image1,4,1
C3-Image1,5,3
C3-Image1,6,0
C3-Image1,7,0
C3-Image1,8,27
C3-Image1,9,0
C3-Image1,10,2
C3-Image1,11,10
C3-Image1,12,2
C3-Image1,13,0
C3-Image1,14,3
C3-Image1,15,13
C3-Image1,16,1
C3-Image1,17,2
C3-Image1,18,3
C3-Image1,19,8
C3-Image1,20,89
C3-Image1,21,10
C3-Image1,22,0
C3-Image1,23,53
C3-Image1,24,24
C3-Image1,25,15
C3-Image1,26,24
C3-Image1,27,0
C3-Image1,28,30
C3-Image1,29,2
C3-Image1,30,21
C3-Image1,31,11
C3-Image1,32,32
C3-Image1,33,1
C3-Image1,34,0
C3-Image1,35,0
C3-Image2,1,38
C3-Image2,2,27
C3-Image2,3,27
C3-Image2,4,43
C3-Image2,5,41
C3-Image2,6,6
C3-Image2,7,45
C3-Image2,8,33
C3-Image2,9,3
C3-Image2,10,2
C3-Image2,11,17
C3-Image2,12,18
C3-Image2,13,19
C3-Image2,14,2
C3-Image3,1,37
C3-Image3,2,35
C3-Image3,3,36
C3-Image3,4,2
C3-Image3,5,38
C3-Image3,6,1
C3-Image3,7,34
C3-Image3,8,21
C3-Image3,9,47
C3-Image3,10,19
C3-Image3,11,36
C3-Image3,12,27
C3-Image3,13,1
C3-Image3,14,4
C3-Image3,15,6
C3-Image4,1,1
C3-Image4,2,22
C3-Image4,3,25
C3-Image4,4,0
C3-Image4,5,47
C3-Image4,6,32
C3-Image4,7,45
C3-Image4,8,1
C3-Image4,9,37
C3-Image4,10,26
C3-Image5,1,0
C3-Image5,2,44
C3-Image5,3,37
C3-Image5,4,13
C3-Image5,5,27
C3-Image5,6,39
C3-Image5,7,1
C3-Image5,8,2
C3-Image5,9,0
C3-Image5,10,30
C3-Image5,11,1
C3-Image5,12,3
C3-Image5,13,21
C3-Image13,1,1
C3-Image13,2,1
C3-Image13,3,0
C3-Image13,4,2
C3-Image13,5,41
C3-Image13,6,43
C3-Image13,7,31
C3-Image13,8,2
C3-Image13,9,17
C3-Image13,10,11
C3-Image13,11,31
C3-Image13,12,0
C3-Image13,13,35
C3-Image13,14,34
C3-Image13,15,36
C3-Image13,16,40
C3-Image13,17,35
C3-Image13,18,8
C3-Image13,19,0
C3-Image13,20,0
C3-Image13,21,36
C3-Image13,22,1
C3-Image13,23,0
C3-Image13,24,1
C3-Image14,1,13
C3-Image14,2,0
C3-Image14,3,0
C3-Image14,4,0
C3-Image14,5,0
C3-Image14,6,0
C3-Image14,7,20
C3-Image14,8,23
C3-Image14,9,31
C3-Image14,10,34
C3-Image14,11,7
C3-Image14,12,11
C3-Image14,13,1
C3-Image14,14,1
C3-Image14,15,1
C3-Image14,16,8
C3-Image14,17,19
C3-Image14,18,35
C3-Image15,1,18
C3-Image15,2,10
C3-Image15,3,4
C3-Image15,4,3
C3-Image15,5,2
C3-Image15,6,12
C3-Image15,7,5
C3-Image15,8,2
C3-Image15,9,30
C3-Image15,10,2
C3-Image15,11,28
C3-Image15,12,7
C3-Image15,13,58
C3-Image15,14,30
C3-Image15,15,21
C3-Image15,16,17
C3-Image15,17,41
C3-Image15,18,4
C3-Image15,19,4
C3-Image16,1,35
C3-Image16,2,41
C3-Image16,3,9
C3-Image16,4,26
C3-Image16,5,3
C3-Image16,6,1
C3-Image16,7,2
C3-Image16,8,31
C3-Image16,9,37
C3-Image16,10,1
C3-Image16,11,0
C3-Image16,12,21
C3-Image16,13,32
C3-Image16,14,48
C3-Image16,15,45
C3-Image16,16,17
C3-Image16,17,4
