well,fluor,target,content,sample,cq
B01,SYBR,18S,Unkn,SUM149-P,14.42
B02,SYBR,18S,Unkn,SUM149-P,14.64
B03,SYBR,REV7,Unkn,SUM149-P,26.70
B04,SYBR,REV7,Unkn,SUM149-P,26.70
B05,SYBR,CDK1,Unkn,SUM149-P,23.71
B06,SYBR,CDK1,Unkn,SUM149-P,23.79
B07,SYBR,CHEK1,Unkn,SUM149-P,25.12
B08,SYBR,CHEK1,Unkn,SUM149-P,25.17
B09,SYBR,BRCA1,Unkn,SUM149-P,28.53
B10,SYBR,BRCA1,Unkn,SUM149-P,28.59
B11,SYBR,TP53BP1,Unkn,SUM149-P,27.16
B12,SYBR,TP53BP1,Unkn,SUM149-P,27.10
C01,SYBR,18S,Unkn,SUM149-RC1,14.62
C02,SYBR,18S,Unkn,SUM149-RC1,14.62
C03,SYBR,REV7,Unkn,SUM149-RC1,26.48
C04,SYBR,REV7,Unkn,SUM149-RC1,26.45
C05,SYBR,CDK1,Unkn,SUM149-RC1,23.99
C06,SYBR,CDK1,Unkn,SUM149-RC1,23.97
C07,SYBR,CHEK1,Unkn,SUM149-RC1,25.56
C08,SYBR,CHEK1,Unkn,SUM149-RC1,25.62
C09,SYBR,BRCA1,Unkn,SUM149-RC1,27.20
C10,SYBR,BRCA1,Unkn,SUM149-RC1,27.12
C11,SYBR,TP53BP1,Unkn,SUM149-RC1,26.74
C12,SYBR,TP53BP1,Unkn,SUM149-RC1,26.80
D01,SYBR,18S,Unkn,SUM149-RC3,14.98
D02,SYBR,18S,Unkn,SUM149-RC3,14.73
D03,SYBR,REV7,Unkn,SUM149-RC3,27.61
D04,SYBR,REV7,Unkn,SUM149-RC3,27.48
D05,SYBR,CDK1,Unkn,SUM149-RC3,24.68
D06,SYBR,CDK1,Unkn,SUM149-RC3,24.55
D07,SYBR,CHEK1,Unkn,SUM149-RC3,25.65
D08,SYBR,CHEK1,Unkn,SUM149-RC3,25.69
D09,SYBR,BRCA1,Unkn,SUM149-RC3,27.83
D10,SYBR,BRCA1,Unkn,SUM149-RC3,27.79
D11,SYBR,TP53BP1,Unkn,SUM149-RC3,27.14
D12,SYBR,TP53BP1,Unkn,SUM149-RC3,27.10
E01,SYBR,18S,Unkn,SUM149-RC4,14.60
E02,SYBR,18S,Unkn,SUM149-RC4,14.63
E03,SYBR,REV7,Unkn,SUM149-RC4,26.40
E04,SYBR,REV7,Unkn,SUM149-RC4,26.12
E05,SYBR,CDK1,Unkn,SUM149-RC4,23.31
E06,SYBR,CDK1,Unkn,SUM149-RC4,23.34
E07,SYBR,CHEK1,Unkn,SUM149-RC4,24.54
E08,SYBR,CHEK1,Unkn,SUM149-RC4,24.55
E09,SYBR,BRCA1,Unkn,SUM149-RC4,26.38
E10,SYBR,BRCA1,Unkn,SUM149-RC4,26.43
E11,SYBR,TP53BP1,Unkn,SUM149-RC4,26.66
E12,SYBR,TP53BP1,Unkn,SUM149-RC4,26.75
