# treatment: DMSO or 50 nM Talazoparib for 48 h
# drug: Talazoparib (BMN-673); PARP inhibitor
# fold resistance is approximate
# parent cell line: SUM149 (inflammatory, triple-negative breast cancer)
sample_id	clone	treatment	resistance	fold_resistance
R450-19-C26-V-1	C26	DMSO	Resistant	100
R450-20-C26-V-2	C26	DMSO	Resistant	100
R450-21-C26-V-3	C26	DMSO	Resistant	100
R450-43-C26-P-1	C26	Talazoparib	Resistant	100
R450-44-C26-P-2	C26	Talazoparib	Resistant	100
R450-45-C26-P-3	C26	Talazoparib	Resistant	100
R450-22-C19-V-1	C19	DMSO	Resistant	1000
R450-23-C19-V-2	C19	DMSO	Resistant	1000
R450-24-C19-V-3	C19	DMSO	Resistant	1000
R450-46-C19-P-1	C19	Talazoparib	Resistant	1000
R450-47-C19-P-2	C19	Talazoparib	Resistant	1000
R450-48-C19-P-3	C19	Talazoparib	Resistant	1000
R450-25-C2-V-1	C2	DMSO	Resistant	1000
R450-26-C2-V-2	C2	DMSO	Resistant	1000
R450-27-C2-V-3	C2	DMSO	Resistant	1000
R450-49-C2-P-1	C2	Talazoparib	Resistant	1000
R450-50-C2-P-2	C2	Talazoparib	Resistant	1000
R450-51-C2-P-3	C2	Talazoparib	Resistant	1000
13-C17-V-1	C17	DMSO	Resistant	500
R450-14-C17-V-2	C17	DMSO	Resistant	500
R450-15-C17-V-3	C17	DMSO	Resistant	500
R450-37-C17-P-1	C17	Talazoparib	Resistant	500
R450-38-C17-P-2	C17	Talazoparib	Resistant	500
R450-39-C17-P-3	C17	Talazoparib	Resistant	500
10-C20-V-1	C20	DMSO	Resistant	500
11-C20-V-2	C20	DMSO	Resistant	500
12-C20-V-3	C20	DMSO	Resistant	500
R450-34-C20-P-1	C20	Talazoparib	Resistant	500
R450-35-C20-P-2	C20	Talazoparib	Resistant	500
R450-36-C20-P-3	C20	Talazoparib	Resistant	500
R450-16-C29-V-1	C29	DMSO	Resistant	500
R450-17-C29-V-2	C29	DMSO	Resistant	500
R450-18-C29-V-3	C29	DMSO	Resistant	500
R450-40-C29-P-1	C29	Talazoparib	Resistant	500
R450-41-C29-P-2	C29	Talazoparib	Resistant	500
R450-42-C29-P-3	C29	Talazoparib	Resistant	500
7-C30-V-1	C30	DMSO	Resistant	500
8-C30-V-2	C30	DMSO	Resistant	500
9-C30-V-3	C30	DMSO	Resistant	500
R450-31-C30-P-1	C30	Talazoparib	Resistant	500
R450-32-C30-P-2	C30	Talazoparib	Resistant	500
R450-33-C30-P-3	C30	Talazoparib	Resistant	500
1-Parental-1	Parental	None	Sensitive	1
2-Parental-2	Parental	None	Sensitive	1
3-Parental-3	Parental	None	Sensitive	1
4-Parental-V-1	Parental	DMSO	Sensitive	1
5-Parental-V-2	Parental	DMSO	Sensitive	1
6-Parental-V-3	Parental	DMSO	Sensitive	1
R450-28-Parental-P-1	Parental	Talazoparib	Sensitive	1
R450-29-Parental-P-2	Parental	Talazoparib	Sensitive	1
R450-30-Parental-P-3	Parental	Talazoparib	Sensitive	1
